Photon Energy	Psi	Delta

1.242747	43.324	156.836
1.246221	43.314	156.754
1.249216	43.305	156.682
1.252228	43.297	156.608
1.255761	43.286	156.522
1.258808	43.277	156.446
1.261872	43.271	156.385
1.265467	43.266	156.326
1.268567	43.262	156.274
1.271684	43.258	156.222
1.275343	43.252	156.160
1.278498	43.248	156.106
1.281671	43.243	156.051
1.285395	43.238	155.986
1.288607	43.233	155.929
1.291837	43.228	155.872
1.295628	43.222	155.804
1.298898	43.216	155.744
1.302187	43.211	155.684
1.306048	43.204	155.612
1.309378	43.198	155.550
1.312728	43.192	155.487
1.316660	43.185	155.412
1.320053	43.179	155.346
1.324036	43.171	155.268
1.327471	43.165	155.200
1.330928	43.158	155.132
1.334986	43.150	155.050
1.338488	43.142	154.978
1.342010	43.135	154.906
1.346147	43.126	154.819
1.349716	43.118	154.744
1.353306	43.110	154.668
1.357523	43.100	154.577
1.361162	43.092	154.497
1.364823	43.083	154.416
1.369123	43.072	154.320
1.372834	43.063	154.236
1.376568	43.053	154.151
1.380954	43.042	154.049
1.384739	43.031	153.961
1.388548	43.021	153.870
1.393023	43.010	153.780
1.396885	43.000	153.709
1.400772	42.990	153.637
1.405339	42.978	153.551
1.409281	42.968	153.476
1.413248	42.957	153.400
1.417910	42.945	153.310
1.421934	42.933	153.231
1.425984	42.922	153.150
1.430744	42.908	153.054
1.434853	42.895	152.971
1.438990	42.883	152.886
1.443851	42.867	152.785
1.448048	42.854	152.696
1.452274	42.840	152.606
1.457241	42.823	152.499
1.461529	42.808	152.405
1.465847	42.793	152.310
1.470923	42.775	152.196
1.475305	42.759	152.096
1.479719	42.742	151.995
1.484907	42.722	151.874
1.489388	42.704	151.769
1.493901	42.686	151.661
1.499206	42.664	151.532
1.503788	42.645	151.420
1.508403	42.624	151.305
1.513829	42.608	151.193
1.518517	42.596	151.104
1.523238	42.583	151.014
1.528790	42.569	150.906
1.533587	42.555	150.811
1.539228	42.540	150.699
1.544101	42.526	150.601
1.549011	42.511	150.500
1.554786	42.494	150.381
1.559775	42.478	150.276
1.564803	42.462	150.169
1.570716	42.443	150.042
1.575827	42.426	149.931
1.580976	42.408	149.817
1.587034	42.387	149.681
1.592269	42.368	149.562
1.597546	42.349	149.441
1.603753	42.325	149.296
1.609119	42.304	149.169
1.614527	42.282	149.039
1.620891	42.256	148.884
1.626392	42.233	148.747
1.631937	42.209	148.608
1.638463	42.180	148.442
1.644105	42.161	148.322
1.649793	42.143	148.210
1.656487	42.121	148.076
1.662276	42.102	147.958
1.668113	42.082	147.838
1.674983	42.059	147.695
1.680924	42.037	147.570
1.686915	42.016	147.441
1.693968	41.989	147.288
1.700069	41.966	147.154
1.706221	41.941	147.016
1.713465	41.912	146.852
1.719732	41.885	146.707
1.726052	41.858	146.560
1.733495	41.825	146.383
1.739934	41.796	146.228
1.746430	41.766	146.069
1.754080	41.729	145.879
1.760700	41.697	145.715
1.767379	41.669	145.580
1.775246	41.635	145.418
1.782054	41.606	145.277
1.788924	41.575	145.132
1.797018	41.537	144.958
1.804023	41.504	144.806
1.811093	41.469	144.650
1.819423	41.427	144.463
1.826634	41.390	144.299
1.833913	41.351	144.131
1.842490	41.304	143.930
1.849917	41.262	143.753
1.858671	41.212	143.540
1.866251	41.166	143.354
1.873903	41.119	143.162
1.882924	41.062	142.949
1.890737	41.009	142.793
1.898626	40.955	142.634
1.907927	40.890	142.444
1.915984	40.831	142.276
1.924120	40.771	142.105
1.933715	40.697	141.900
1.942027	40.632	141.720
1.950424	40.564	141.535
1.960327	40.481	141.314
1.968908	40.407	141.120
1.977577	40.330	140.921
1.987803	40.236	140.682
1.996667	40.153	140.473
2.005623	40.065	140.258
2.016189	39.965	140.013
2.025350	39.880	139.804
2.034607	39.791	139.591
2.045531	39.682	139.337
2.055003	39.585	139.113
2.064578	39.485	138.885
2.075879	39.362	138.612
2.085679	39.253	138.371
2.095588	39.140	138.125
2.107286	39.002	137.829
2.117433	38.879	137.568
2.127693	38.751	137.299
2.139809	38.615	137.043
2.150321	38.497	136.832
2.160954	38.374	136.614
2.173511	38.225	136.352
2.184410	38.092	136.120
2.195434	37.953	135.880
2.208459	37.783	135.591
2.219765	37.631	135.334
2.231204	37.472	135.067
2.244722	37.277	134.744
2.256459	37.100	134.454
2.268337	36.924	134.186
2.282378	36.713	133.876
2.294572	36.520	133.599
2.306916	36.317	133.312
2.321510	36.064	132.963
2.334188	35.832	132.652
2.347025	35.584	132.329
2.362206	35.273	131.938
2.375399	34.984	131.592
2.391003	34.574	131.445
2.404566	34.182	131.450
2.418304	33.770	131.501
2.434560	33.266	131.633
2.448692	32.817	131.820
2.463012	32.354	132.085
2.479960	31.805	132.505
2.494700	31.332	132.969
2.509639	31.072	133.482
2.527326	30.913	134.086
2.542713	30.787	134.621
2.558313	30.672	135.170
2.576788	30.549	135.826
2.592865	30.456	136.401
2.609171	30.373	136.983
2.628489	30.289	137.672
2.645306	30.350	137.922
2.662368	30.424	138.135
2.682588	30.511	138.383
2.700196	30.586	138.593
2.718066	30.661	138.801
2.739254	30.750	139.041
2.757711	30.811	139.226
2.776450	30.851	139.384
2.798676	30.898	139.567

