Photon Energy	Psi	Delta

1.242747	43.303	156.638
1.246221	43.293	156.556
1.249216	43.284	156.484
1.252228	43.276	156.410
1.255761	43.265	156.324
1.258808	43.256	156.248
1.261872	43.250	156.187
1.265467	43.245	156.128
1.268567	43.240	156.076
1.271684	43.236	156.023
1.275343	43.231	155.960
1.278498	43.226	155.906
1.281671	43.221	155.851
1.285395	43.215	155.786
1.288607	43.210	155.729
1.291837	43.205	155.671
1.295628	43.199	155.602
1.298898	43.193	155.543
1.302187	43.188	155.482
1.306048	43.181	155.410
1.309378	43.175	155.348
1.312728	43.169	155.284
1.316660	43.161	155.209
1.320053	43.155	155.143
1.324036	43.147	155.065
1.327471	43.140	154.997
1.330928	43.133	154.928
1.334986	43.125	154.846
1.338488	43.118	154.774
1.342010	43.110	154.702
1.346147	43.101	154.615
1.349716	43.093	154.540
1.353306	43.085	154.463
1.357523	43.075	154.372
1.361162	43.066	154.293
1.364823	43.057	154.212
1.369123	43.047	154.116
1.372834	43.037	154.032
1.376568	43.028	153.947
1.380954	43.016	153.845
1.384739	43.006	153.757
1.388548	42.995	153.666
1.393023	42.984	153.576
1.396885	42.974	153.505
1.400772	42.964	153.433
1.405339	42.952	153.347
1.409281	42.942	153.271
1.413248	42.931	153.195
1.417910	42.918	153.104
1.421934	42.907	153.025
1.425984	42.895	152.944
1.430744	42.881	152.849
1.434853	42.869	152.765
1.438990	42.856	152.680
1.443851	42.840	152.579
1.448048	42.827	152.490
1.452274	42.813	152.400
1.457241	42.796	152.293
1.461529	42.782	152.199
1.465847	42.766	152.104
1.470923	42.748	151.990
1.475305	42.732	151.891
1.479719	42.715	151.789
1.484907	42.695	151.669
1.489388	42.678	151.563
1.493901	42.660	151.456
1.499206	42.638	151.328
1.503788	42.618	151.215
1.508403	42.598	151.101
1.513829	42.581	150.989
1.518517	42.569	150.900
1.523238	42.557	150.809
1.528790	42.542	150.701
1.533587	42.529	150.607
1.539228	42.513	150.494
1.544101	42.499	150.396
1.549011	42.484	150.296
1.554786	42.466	150.176
1.559775	42.451	150.072
1.564803	42.435	149.965
1.570716	42.416	149.838
1.575827	42.398	149.727
1.580976	42.381	149.613
1.587034	42.360	149.478
1.592269	42.341	149.359
1.597546	42.321	149.238
1.603753	42.298	149.093
1.609119	42.277	148.966
1.614527	42.255	148.837
1.620891	42.229	148.682
1.626392	42.206	148.547
1.631937	42.183	148.408
1.638463	42.154	148.242
1.644105	42.134	148.123
1.649793	42.116	148.011
1.656487	42.095	147.877
1.662276	42.076	147.760
1.668113	42.056	147.640
1.674983	42.032	147.497
1.680924	42.011	147.372
1.686915	41.989	147.244
1.693968	41.962	147.091
1.700069	41.939	146.957
1.706221	41.915	146.820
1.713465	41.885	146.656
1.719732	41.859	146.512
1.726052	41.832	146.365
1.733495	41.799	146.190
1.739934	41.770	146.035
1.746430	41.740	145.877
1.754080	41.704	145.688
1.760700	41.672	145.526
1.767379	41.644	145.391
1.775246	41.611	145.230
1.782054	41.581	145.089
1.788924	41.550	144.944
1.797018	41.513	144.772
1.804023	41.480	144.620
1.811093	41.445	144.465
1.819423	41.404	144.280
1.826634	41.367	144.117
1.833913	41.328	143.950
1.842490	41.282	143.750
1.849917	41.241	143.574
1.858671	41.190	143.364
1.866251	41.146	143.179
1.873903	41.099	142.989
1.882924	41.042	142.778
1.890737	40.991	142.623
1.898626	40.937	142.465
1.907927	40.873	142.276
1.915984	40.815	142.110
1.924120	40.756	141.941
1.933715	40.684	141.738
1.942027	40.619	141.560
1.950424	40.553	141.377
1.960327	40.472	141.159
1.968908	40.400	140.967
1.977577	40.325	140.771
1.987803	40.235	140.536
1.996667	40.154	140.329
2.005623	40.069	140.117
2.016189	39.974	139.875
2.025350	39.892	139.669
2.034607	39.807	139.457
2.045531	39.704	139.203
2.055003	39.612	138.980
2.064578	39.517	138.750
2.075879	39.400	138.474
2.085679	39.297	138.231
2.095588	39.188	137.981
2.107286	39.057	137.679
2.117433	38.939	137.413
2.127693	38.816	137.138
2.139809	38.684	136.874
2.150321	38.569	136.655
2.160954	38.450	136.430
2.173511	38.305	136.159
2.184410	38.174	135.919
2.195434	38.039	135.672
2.208459	37.873	135.372
2.219765	37.723	135.106
2.231204	37.567	134.830
2.244722	37.374	134.496
2.256459	37.201	134.197
2.268337	37.027	133.919
2.282378	36.817	133.597
2.294572	36.627	133.311
2.306916	36.425	133.014
2.321510	36.174	132.653
2.334188	35.943	132.332
2.347025	35.697	131.998
2.362206	35.387	131.595
2.375399	35.100	131.238
2.391003	34.689	131.077
2.404566	34.296	131.068
2.418304	33.884	131.105
2.434560	33.379	131.221
2.448692	32.929	131.393
2.463012	32.466	131.642
2.479960	31.915	132.044
2.494700	31.441	132.493
2.509639	31.178	132.994
2.527326	31.017	133.586
2.542713	30.888	134.110
2.558313	30.769	134.649
2.576788	30.644	135.293
2.592865	30.547	135.857
2.609171	30.461	136.429
2.628489	30.373	137.105
2.645306	30.431	137.349
2.662368	30.501	137.559
2.682588	30.584	137.801
2.700196	30.656	138.006
2.718066	30.728	138.209
2.739254	30.813	138.444
2.757711	30.871	138.624
2.776450	30.908	138.777
2.798676	30.952	138.955

